Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
wire gets overstretched,"is, gets, worked","same, overstretched",wire,earphone,NEGATIVE,"The fault point on all Jbuds is always the same, the   wire gets overstretched   or worked right near the Jack.  "
annoying thumping sound of the wire,"is, thumping, moving, touching, makes, like",sensitive,wire,earphone,POSITIVE,"The mic is pretty sensitive too, but the   annoying thumping sound of the wire   moving or touching your chest or hands makes them very hard to like.  "
wire dont tangle,"do, tangle, keep, do",most,wire,earphone,POSITIVE,The   wire dont tangle   if you keep them in your gym bag most of the time like I do.  
lose wire,"died, went, lose","first, due",wire,earphone,NEGATIVE,"The first pair died on me after about 5 months of wear, one of the speakers went out due to a   lose wire   near the connection to the MP3 player.  "
tweaked the wire,"tweaked, come, have, hold","right, little",wire,earphone,NEGATIVE,"If I   tweaked the wire   at the right point just a little, it would come back, but I would have to hold it there.  "
I twist the wire,"failed, does, fix, twist","few, exact, same",wire,earphone,NEGATIVE,"This pair just failed a few days ago with the exact same problem, except now it doesnt even fix itself when   I twist the wire  .  "
wire was frayed,"had, been, was, frayed, being, used","pleased, first, left, actual, earphone, safe",wire,earphone,NEGATIVE,I had been quite pleased with my very first pair until the left   wire was frayed   inside right under the actual earphone unit despite it only being used for my computer for 6 weeks in a safe environment.  
short in the wire,"bought, had, developed, hear",short,wire,earphone,NEGATIVE,I bought these as yet another pair of my MaximoHS2s had developed a   short in the wire   and I could no longer hear out of one ear.  
wire noise is rampant,"was, is","great, rampant",wire,earphone,NEGATIVE,"Noise isolation was great with the headphones on, but   wire noise is rampant  .  "
wire in the plug eventually became loose,"have, block, became, was, jiggle, get, quit","great, crisp, outside, loose, few, able, sound",wire,earphone,NEGATIVE,"These headphones have a great sound  crisp with lots of bass  and they block outside noise very well  but the   wire in the plug eventually became loose  , and though for a few days I was able to ""jiggle"" the cable to get sound, they eventually quit completely.  "
hold the wire,"starts, going, having, hold, get, come","left, certain, audio, left",wire,earphone,NEGATIVE,"It always starts with the left headphone going out, and having to   hold the wire   in a certain position to get audio to come out from the left earphone.  "
wrong in the connection between wire,went,wrong,wire,earphone,NEGATIVE,Something went   wrong in the connection between wire   and the base of the headphone plug.  
wire started to show,"wrap, started, show, stopped, put, listened, got, hear","durable, worse",wire,earphone,NEGATIVE,"Not durable enough for me, i use to wrap the cord around my phone and then   wire started to show   so i stopped that, but then when i would put the headphones in my jacket pocket as i listened to music it got worse to where now I cannot hear anything out of the ear buds.  "
joggling of the wire,"m, walking, produce","slight, acoustic",wire,earphone,POSITIVE,"When Im walking, the   joggling of the wire   produce a slight acoustic thump inside my ear canal.  "
wire has a short,"fall, have, had, replace, has, goes, sound, comes, hold","little, easy, short, steady",wire,earphone,NEGATIVE,"Anyway, the little rubber things fall off too easy, and I have just had to replace them because the   wire has a short   in it right where the jack goes into the ipod, and sound only comes out of one side unless you hold the cord steady.  "
wire is EXTREMELY thin   wire will kink,"is, tell, m, kink, break","thin, concerned",wire,earphone,NEGATIVE,"The   wire is EXTREMELY thin   (you can tell in the picture), Im concerned that the   wire will kink   or break.  "
wire on these headphones are uber thin,are,"uber, thin",wire,earphone,NEGATIVE,"No seriously, the   wire on these headphones are uber thin  .  "
fiddle with the wire,"lost, have, get","right, broken",wire,earphone,NEGATIVE,I lost sound in the right piece and I have to   fiddle with the wire   to get broken sound in the left.  
short in the wire,"was, moving, does, comes, goes, move","short, good, bad",wire,earphone,NEGATIVE,"Thought it was a   short in the wire  , but even moving it around does nothing (good or bad), it just comes on and goes out randomly when I move during my workout.  "
shortedout where the wire,"have, used, have, become, have, had, have, become, has, connects","less, light, useless, same, other, useless, shortedout",wire,earphone,NEGATIVE,"I have used these for literally less than one week, light usage, really; they have already become useless in the same way every other pair of these I have had previously have become useless: the wire has   shortedout where the wire   connects to the plug.  "
wire I can momentarily hear the sound,"manipulate, hear, Left",shortsout,wire,earphone,NEGATIVE,"If I manipulate the   wire I can momentarily hear the sound   in the Left earbud, then it shortsout again.  "
wire broke off,broke,internal,wire,earphone,NEGATIVE,The internal   wire broke off   within 4 weeks.  
wire get tangled,"are, is, like, loses, guess, get, tangled, wrap","GREAT, great, black, right, sound",wire,earphone,NEGATIVE,They are GREAT headphones the sound is great and I like the black color but after 6 months the right headphone always loses sound I guess the   wire get tangled   from when I wrap it around my ipod.  
recover the wire,"pull, smoothing, push, recover","entire, rumpled",wire,earphone,NEGATIVE,"If you firmly pull the entire length of the wire though, as if smoothing a rumpled cloth, you can push the cover back into place and   recover the wire   with a bit of effort.  "
wire comes out from the ear peice,"happened, comes",same,wire,earphone,NEGATIVE,The same thing happened twice the   wire comes out from the ear peice  !  
worn wire,"stopped, working, seems, be, did, bother, took, occur, is","earpiece, general, worn, sturdy",wire,earphone,NEGATIVE,"After a couple of months eventually one earpiece stopped working (which seems to be the case with headphones in general, usually from a   worn wire   within the cable so it didnt bother me and actually took a while to occur since the cable is sturdy enough).  "
wire has frayed,"assume, has, frayed, reading, seems, is","internal, other, common",wire,earphone,NEGATIVE,"I assume that the internal   wire has frayed  , and reading other reviews it seems that this is a very common problem with these ear phones.  "
bend the wire,"work, bend, be, bothered, s",certain,wire,earphone,NEGATIVE,"It sometimes work when you   bend the wire   a certain way but really, who can be bothered its junk now.  "
wire fails,"is, becomes, goes, fails",unreliable,wire,earphone,NEGATIVE,The problem in all cases is one side becomes unreliable and then goes altogether as the connection between the plug and   wire fails  .  
wire are much too short,"are, exposed, s","short, static",wire,earphone,NEGATIVE,"Also, the   wire are much too short  , and the exposed metal bits on the buds shock my ears whenever theres static electricity (carpet, blankets, etc).  "
wire inside the cord are equally thin,"are, broke, rendering","thin, next, useless",wire,earphone,NEGATIVE,"The   wire inside the cord are equally thin   and broke next to the elbow connector after about 6 months of use, rendering the earbuds useless.  "
shorting out in the area where the wire,"gave, began, shorting, connects",first,wire,earphone,NEGATIVE,I gave these 3 stars because within the first week the phones began   shorting out in the area where the wire   connects to the 18 plug.  
terrible feedback that travels up the wire,"move, is, travels",terrible,wire,earphone,NEGATIVE,"Once you move and the wire barely brushes anything, there is   terrible feedback that travels up the wire   and right into your ears.  "
wire are kind,"are, suppose, s",stiff,wire,earphone,NEGATIVE,"The   wire are kind   of stiff, and I suppose thats why.  "
wire are so heavy,"changed, gets, hurt, are, compare","smallest, biggest, easy, heavy",wire,earphone,NEGATIVE,"I changed from smallest size to the biggest size but it always gets hurt in my ear, also it so easy drop because the   wire are so heavy   compare to the earpieces.  "
turn the wire in order to hear sound,"have, twist, turn, hear",right,wire,earphone,POSITIVE,I have to twist and   turn the wire in order to hear sound   in the right ear now.  
not very protective of the wire,is,protective,wire,earphone,NEGATIVE,The plastic is just   not very protective of the wire   inside.  
see the wire,"bought, started, see","original, iPod",wire,earphone,NEGATIVE,I bought these earphones about 6 months ago when the cord on my original iPod earbuds started to strip and you could   see the wire  .  
wire hitting my chest,"running, hearing, hear, coming, hitting",steady,wire,earphone,POSITIVE,"While running, instead of hearing the music, I hear a steady metronome coming from the   wire hitting my chest  .  "
wire broke,"liked, detached, containing, broke","long, light",wire,earphone,NEGATIVE,"I liked this earbuds, but after a while (long time period but light use) both speakers detached from the shells containing them, then the   wire broke  , game over.  "
wire do look a bit flimsy,"do, look, ve, held",flimsy,wire,earphone,NEGATIVE,"The   wire do look a bit flimsy  , but theyve held up so far.  "
no permanent joint in the wire,"is, get, have, rip, hope, do, rip","permanent, more",wire,earphone,NEGATIVE,"Also, there is   no permanent joint in the wire  , and when you first get them you have to rip the cords apart yourself and hope they dont rip any more.  "
wire was beginning to tear,"noticed, was, beginning, tear","few, left, right",wire,earphone,NEGATIVE,"However, after a few weeks I noticed the plastic cover on the left   wire was beginning to tear   right underneath the earbud.  "
wire wore,"wore, being, left, does, work","few, due, unprotected",wire,earphone,NEGATIVE,"A few weeks later the   wire wore   through due to being unprotected, and now the left earbud doesnt work.  "
wire are shoddy,are,shoddy,wire,earphone,NEGATIVE,The   wire are shoddy  .  
wire must have come loose,"have, come, move, get, does, stay, working","audio, certain, sound",wire,earphone,NEGATIVE,The   wire must have come loose   near the audio jack because whenever I move them a certain way I will get sound (however it doesnt stay working).  
short in the wire,"ve, owned, s","short, short",wire,earphone,NEGATIVE,"Ive owned the J3 Micro Atomic Earphone in Purplelicious for only about 2 weeks, and theres already some short of   short in the wire  .  "
wire seperated,"seperated, causing","joint, static",wire,earphone,NEGATIVE,"The   wire seperated   at the joint and at base of bud, causing static sounds after only 1 month.  "
wire that completely destroyed,"stuck, moved, was, destroyed, listening","great, peripheral",wire,earphone,NEGATIVE,"The JBuds stuck in my ears great, but the minute I moved, there was all kinds of peripheral noise from the   wire that completely destroyed   the listening experience.  "
wire were weak,"Read, stating, were, tried, take","weak, prone, good, bent, kinked",wire,earphone,NEGATIVE,Read some reviews stating that the   wire were weak   and prone to damage so I tried to take very good care of mine (never bent or kinked).  
wire noise is too distracting,is,distracting,wire,earphone,NEGATIVE,The   wire noise is too distracting  .  
wire the connects to the ear piece became loose,"broke, connects, became, had, happened, connects","right, loose, left, same",wire,earphone,NEGATIVE,"The right side broke because the   wire the connects to the ear piece became loose  , and the left side had the same problem but it happened on the part where it connects to the plug.  "
wire leading into the mic was loose,"found, leading, was",loose,wire,earphone,NEGATIVE,I found out by accident that the   wire leading into the mic was loose  .  
"wire, right near the connector always felt a little weak","was, felt","decent, first, little, weak",wire,earphone,NEGATIVE,"So the sound on these was really pretty decent for the first 7 months, but the bast of the   wire, right near the connector always felt a little weak   to me.  "
wire inside must have finally worked itself loose,"happend, have, worked, lose","loose, left",wire,earphone,NEGATIVE,"Well it finally happend, one of the copper   wire inside must have finally worked itself loose  , as I lose my left headphone completely.  "
wire started fraying,"said, started, fraying, works","normal, such",wire,earphone,NEGATIVE,"That said, after ~4 months or so of normal use with my phone in my pocket, the base of the connector   wire started fraying  , such that one of the ears no longer works consistently.  "
wire bounce off,"bounce, is, amplified, shot",soft,wire,earphone,NEGATIVE,Basically in any instance the   wire bounce off   of something as soft as your cotton shirt the sound is amplified and shot right into your ears which totally ruins the mood of any song.  
wire curve and create a static sound,"create, hear, work","static, other, fine",wire,earphone,POSITIVE,when i plug it into my phone the angle of the   wire curve and create a static sound   where i can only hear the background music and not the words (other earphones work perfectly fine).  
wire became bentseparated,"m, guessing, became, bent, connect, plugs",hard,wire,earphone,NEGATIVE,Im guessing the   wire became bentseparated   at the part where they connect to the hard metal piece that plugs into the ipodcomputer.  
wire around theres static,move,static,wire,earphone,NEGATIVE,if i move the   wire around theres static  .  
wire and plug are of much lower quality,are,"lower, original",wire,earphone,NEGATIVE,The   wire and plug are of much lower quality   than the original Apple earbuds.  
wire is cracked,"is, cracked, is, be, use","much, static, able",wire,earphone,NEGATIVE,The   wire is cracked   right by the connector and they is too much static to be able to use them.  
short in the wire,have,short,wire,earphone,NEGATIVE,But they have a   short in the wire  .  
wire splits,"believe, occured, splits",single,wire,earphone,NEGATIVE,I believe that the defect occured within the section where the single   wire splits   into two wire.  
wire out in an awkward position,"kept, cutting, had, walk, holding, gave","several, awkward",wire,earphone,NEGATIVE,"Tonight, because the sound kept cutting in and out on one bud, I had to walk several miles while holding the   wire out in an awkward position   until I finally gave up.  "
broke the wire,"have, done, broke, be, aclimated, is, did, get","old, poor, better",wire,earphone,NEGATIVE,"Honestly, I have not done a sidebyside with my old Sonys since I   broke the wire   on them, but it might be that I just aclimated to the poor sound of the jlabs (that is, they didnt really get better).  "
frail wire,have,"cheap, frail",wire,earphone,NEGATIVE,They have a very cheap feel to them as well with very   frail wire  .  
wire are a bit short,are,short,wire,earphone,NEGATIVE,The   wire are a bit short   too for some scenarios.  
enough wire length,"put, have",enough,wire,earphone,NEGATIVE,"If you sometimes put the player in a purse or coat pocket, you may not have   enough wire length  .  "
wire will discount,"tugging, walking, discount, kill",minor,wire,earphone,NEGATIVE,"Any minor tugging on the headphones from jogging, walking or what not the   wire will discount   from the jack section and eventually will kill the headphones.  "
wire connection has loosened,"is, tell, is, has, loosened, does, provide","easy, earphone, fine, solid",wire,earphone,POSITIVE,It is pretty easy to tell that the earphone itself is fine just that the   wire connection has loosened   and doesnt provide a solid connection anymore.  
wire stopped working,"is, does, hold, had, replace, stopped, working","tinny, distant, standard",wire,earphone,NEGATIVE,"The sound is tinny and distant, and it doesnt hold a candle to the sound in the standard issue Apple iPhone headphones, which I had to replace because the microphone on the   wire stopped working  .  "
wire being very sensitive,"being, making, rubbing, are, hear, bumping","other, sensitive, true",wire,earphone,POSITIVE,"The other reviews about the   wire being very sensitive   and making a lot of noise when rubbing against youyour clothing are true  I could hear all of the rustling, bumping, etc.  "
severed the wire,"came, severed, leaving","inear, unglued, black",wire,earphone,NEGATIVE,The silver inear portion came unglued from the black case and   severed the wire   leaving only one channel working.  
wire close to the plug bends,"cuts, bends","right, certain",wire,earphone,POSITIVE,Update  101111: The right channel now cuts out when the   wire close to the plug bends   in a certain direction.  
cut through the wire,"cut, are",thin,wire,earphone,NEGATIVE,"I could   cut through the wire   insulation with my fingernail, and the wire are very thin.  "
wire that freezes,"rub, freezes, broke",mine,wire,earphone,NEGATIVE,"""L"", ""R"", symbols rub off over time Brittle   wire that freezes  , mine broke because of that.  "
wire do get tied up,"do, get, tied, say","little, good",wire,earphone,POSITIVE,"The   wire do get tied up   a little but for the price, I would say good deal.  "
wire used is of cheap material,"is, is, used, is","alright, flimsy, cheap",wire,earphone,NEGATIVE,"While the sound is alright but the plastic of the ""buds"" is really flimsy and the   wire used is of cheap material  .  "
wire hitting,"intend, use, running, hear, caused, hitting, run, be","u, hollow",wire,earphone,NEGATIVE,also if u buy it and intend to use on running  DONT as you will hear the clicking noise caused by the   wire hitting   the inside of the hollow shell of the ear phones when you run and it can be louder than your music!  
wire dont flop,"plan, need, do, flop, transmitting, sound","snug, excess, unwanted",wire,earphone,NEGATIVE,"If you plan on jogging, you really need a snug fit so that the excess ear bud   wire dont flop   around transmitting unwanted vibration sound up the wire to your ears.  "
wire screwed up,"ve, bought, liked, bought, liked, screwed, rendered, figured, try","active, useless",wire,earphone,NEGATIVE,"Ive bought JBuds J1  liked them so I bought Jbuds j2  liked them too,   wire screwed up   after a year or so of active use and thus rendered the headphones useless so i figured, why not try Jbuds j3?  "
wire rubbing noise,"have, go, have, stay, causing, rubbing","more, serious, stationary",wire,earphone,NEGATIVE,The more serious earphones out there have solutions for this to go up and over your ear and have a bendy (like gumby) material to it and stay stationary away from the headphones themselves not causing any   wire rubbing noise  .  
wire is a bit heavy,"is, be",heavy,wire,earphone,NEGATIVE,"The   wire is a bit heavy  , which also may be a problem because of the pull on the earbuds themselves.  "
wire inside have broken,"is, have, taken, avoid, have, broken","exterior, extra, unnecessary",wire,earphone,NEGATIVE,"There is no exterior damage and I have always taken extra care to avoid unnecessary bends to the cord, but nevertheless, the   wire inside have broken  .  "
wiggleposition the wire,"have, wiggle, have, come, is, starting, fail, lol","certain, sound",wire,earphone,NEGATIVE,I have to   wiggleposition the wire   in a certain position to have sound come out of both buds (this method is starting to fail now lol).  
stripped to the wire,"is, stripped, are",better,wire,earphone,NEGATIVE,"The JVCs cord is completely   stripped to the wire  , but they are that much better.  "
wire starts to poke out,"m, going, return, m, develop, starts, poke, covering, go, s, was, looking, replace","leery, first",wire,earphone,NEGATIVE,"For now, Im going to return the JBuds and reorder the Zunes even though Im leery that they will develop a ""hernia"" again where the plastic   wire starts to poke out   of the cloth covering and wont go back in thats why I was looking to replace them in the first place.  "
wire is thin,"is, gets, caught, mention, pops","thin, cheap, damn",wire,earphone,NEGATIVE,"The  wire is thin   and cheap so it gets caught on my arm, not to mention the damn thing pops out of the Ipod headphone jack constantly.  "
wire loosens up,loosens,right,wire,earphone,POSITIVE,The right channel   wire loosens up   inside the microphone assembly very quickly and easily.  
wire that breaks,"Seems, be, breaks","subquality, regular",wire,earphone,NEGATIVE,Seems to be an issue with subquality conductor in the   wire that breaks   apart with regular usage.  
wire came loose,"had, buy, got, seems, came, lost","new, couple",wire,earphone,NEGATIVE,"I had to buy new earplugs only a couple months after I got these, seems the   wire came loose   on one ear and I lost all sound.  "
wire must be frayed,"be, frayed, disconnected",interior,wire,earphone,NEGATIVE,"The interior   wire must be frayed  , disconnected or something.  "
loose wire,"do, know, s, are","loose, unusable",wire,earphone,NEGATIVE,"I dont know if its just a   loose wire   or what, but they are unusable as of now.  "
very thin wire,"be, linked, used, be","thin, next, substantial",wire,earphone,NEGATIVE,The problem may be linked to the   very thin wire   used so my next pair of ear buds will definitely be much more substantial.  
wire were showing,"love, found, were, showing, plug","highest, light",wire,earphone,POSITIVE,"I love this style for highest comfort in the ear, but found that within a couple weeks of fairly light use,   wire were showing   near the end I plug into my Sansa.  "
coming out of the black wire,"was, started, falling, started, coming","nice, first, black",wire,earphone,NEGATIVE,"It was nice at first until it started falling apart, the headphones started   coming out of the black wire   container.  "
connection of the wire,"think, need, make, hear, move, have, came","stronger, loose, right",wire,earphone,POSITIVE,"I think they need to make the   connection of the wire   to the ear bud stronger, I can hear a blip of sound if I move the wire enough, so something must have came loose inside the right ear bud.  "
wire are very thin,"are, reinforced",thin,wire,earphone,NEGATIVE,the   wire are very thin   and not reinforced anywhere.  
lost where the wire,"was, quit, working, found, was, lost, joins","happy, electrical",wire,earphone,NEGATIVE,I was happy until one bud quit working and I found that basically electrical connectivity was   lost where the wire   joins to the jack.  
exposed wire,"kept, using, find, am, jamming, exposed, left","amusing, broken",wire,earphone,NEGATIVE,"I kept using them, though, because I find it amusing that I am jamming a broken ear bud with   exposed wire   into my left ear.  "
exposed wire,"left, exposed, sounds, get, buy","fine, least",wire,earphone,NEGATIVE,"So basically the left ear bud, with its   exposed wire  , still sounds fine so at least I can get by with one ears worth of audio until I buy something else.  "
movement to the wire,"be, is, be, translated","true, inear",wire,earphone,POSITIVE,"Another note, and this maybe be true of all inear earbuds, is any   movement to the wire   will be translated to noise in your ears.  "
wire moving isnt as bad,"is, working, moving, is","better, outthe, bad",wire,earphone,NEGATIVE,This one is better than skull candy for working outthe noise from the   wire moving isnt as bad  .  
wire(which are too long) frayed,"love, are, frayed, joins","sound, long",wire,earphone,NEGATIVE,"I love the sound quality and bass in these, but one of the   wire(which are too long) frayed   at the part that joins the earpiece.  "
wire should be shorter,"think, buying, be, join","shorter, stronger",wire,earphone,NEGATIVE,"I will think about buying these again, but the   wire should be shorter   and stronger where they join the earbuds.  "
wire came loose,"are, am, giving, came, is","great, left",wire,earphone,NEGATIVE,"These are great earbuds, but i am giving it 3 stars because the   wire came loose   in on the left side and now there is no sound in that ear bud.  "
wire started getting loose,"m, is, started, getting, contacted, requested","sure, loose",wire,earphone,NEGATIVE,Im not sure if this is an issue with the driver or if the   wire started getting loose   from use but I contacted the company through their website and requested a warranty repair.  
wire came loose,"came, started, going, came, m, rendered","left, internal, sure, unusable",wire,earphone,NEGATIVE,"the day came that the sound in the left ear started intermittently going outan internal   wire came loose  , Im not surewhich pretty much rendered them unusable.  "
wire started separating,"lasted, started, separating, lost",earbud,wire,earphone,NEGATIVE,These earbuds lasted only about 7 months before the   wire started separating   and one earbud lost sound.  
wire is very thin,"is, last","thin, thin",wire,earphone,NEGATIVE,The   wire is very thin  ; too thin to last.  
wire had either broken,"was, had, broken, come",clear,wire,earphone,NEGATIVE,It was pretty clear that a   wire had either broken   in the earbuds near the plug or maybe come loose from its solder.  
wire inside the insulation broke,"is, broke, connect, hear, playing",little,wire,earphone,NEGATIVE,My theory is that the   wire inside the insulation broke   and when they connect you hear a little bit of whats playing.  
wire became exposed,"started, coming, became, exposed",right,wire,earphone,POSITIVE,"However, after a week the right bud started coming apart and the   wire became exposed  .  "
wire tore,"tore, had, wrapped",mp3,wire,earphone,NEGATIVE,"The   wire tore   just above the plug, apparently because I had wrapped them around my mp3 player.  "
wire quality is not as high,"has, been, stated, is, seem",high,wire,earphone,NEGATIVE,"As has been stated before, apparently the   wire quality is not as high   as it might seem.  "
wire split,"hear, stopped, working",first,wire,earphone,NEGATIVE,"The   wire split   and at first I could only hear out of one side and then that stopped working, too.  "
wire are dental floss thin,"is, are, working, wearing, is","sound, OK, decent, dental, thin, least",wire,earphone,NEGATIVE,"The sound quality is OK to decent, but the   wire are dental floss thin    working out (at least cardio workouts) while wearing these is an exercise in frustration.  "
wire splits,"splits, connect, are",thin,wire,earphone,NEGATIVE,From the spot where the   wire splits   to the point where they connect to each ear bud the wire are very thin.  
wire part separated,"left, popped, is, held, is, is, connected, separated","black, black",wire,earphone,NEGATIVE,"17, 2010), and while on vacation (now) the left bud popped out of the black case which it is held, like on the close up there is a sliver part (metal) and the black case thing that is connected to the wire, the silver and the   wire part separated  .  "
wire became loose,"became, causing","few, general, loose, plastic",wire,earphone,NEGATIVE,"After a few months of general use, the   wire became loose   at the plastic split causing disruption to the sound.  "
wire seems broken,seems,"few, broken",wire,earphone,NEGATIVE,"After a few months, the   wire seems broken  inside.  "
durability of the wire,"think, is, has, deteriorated",other,wire,earphone,NEGATIVE,"Although, I think my problem is with the   durability of the wire   as right now, only one side works and the quality of sound on the other has deteriorated dramatically.  "
"cordwires somehow ""create"" noise","am, sending, wearing, create, interferes, listening",different,cord,earphone,NEGATIVE,"Unfortunately, I am sending them back for 2 different reasons: (1) When wearing the earbuds the   cordwires somehow ""create"" noise   that interferes with your music listening.  "
cordwires rub across the collar,"turn, listens, created, moving, see, mean, is, wearing",bad,cord,earphone,NEGATIVE,If you turn the music off completely and then just listens to the noise created by moving your head you will see what I mean  it is especially bad when wearing a jacket as the   cordwires rub across the collar   constantly.  
cord is so short,"am, is, wear, put","tall, short, MP3, short, front",cord,earphone,NEGATIVE,"I am about 6 feet tall and the  cord is so short  that I cannot wear the earbuds and put my MP3 player in a cargo short pocket, or even in the front pocket of a pair of gym pants.  "
careful with the cord,"being, died","Good, careful, right",cord,earphone,POSITIVE,"Good sound, but despite being really   careful with the cord  , the right earbud died prematurely.  "
cord rubbing against my shirt,"is, dangling, am, hear, makes, rubbing",free,cord,earphone,NEGATIVE,when one bud is dangling and I am on a call I hearfeel every movement the free bud makes as well as the   cord rubbing against my shirt  .  
cord catches on my steering wheel,"s, used, catches, steering","short, grippy",cord,earphone,NEGATIVE,its too short and the grippy material used for the   cord catches on my steering wheel  .  
cord is too short,"is, moving, makes",short,cord,earphone,NEGATIVE,The  cord is too short  and moving the cord makes a rustling sound in the ear.  
cord is also very cheap,"is, get, pay, expected",cheap,cord,earphone,NEGATIVE,"The  cord is also very cheap   again, you get what you pay for, but I really expected more.  "
rip the cord,"are, connected, eachother, have, rip, give, put","right, right",cord,earphone,NEGATIVE,"The left and right pieces are almost connected to eachother at first, so you have to   rip the cord   to give a gap between the left and right pieces so you can put them on.  "
ripping the cord,"see, ripping, creating","bigger, huge",cord,earphone,POSITIVE,"I can easily see myself   ripping the cord   accidentally in the future, thus creating a bigger gap and a huge mess along with that.  "
cord rips,"knocked, rips",extra,cord,earphone,NEGATIVE,"But I knocked off an extra star, because of the way the  cord rips  .  "
noise that the cord,"comes, makes","real, such",cord,earphone,POSITIVE,"However, the real issue comes from the   noise that the cord   makes when it brushes against something such as clothing.  "
